"four_subtypes","Mean_Mahalanobis","Median_Mahalanobis"
"Control",4.97907949790795,4.1881560713853
"Depressive Symptom Subtype",5.65949203225434,4.7415506229011
"Impaired Cognitive Function",5.60212564086414,5.00522409067695
"Moderate/Severe PTSD Subtype",4.95492913262961,4.0106663802125
"Subthreshold/Mild PTSD Subtype",4.94663173454128,4.00816103171689
NA,5.35251792154562,4.47812638697713
