CHEM_ID,Original_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY
,Glycolytic_Ratio,Glycolytic_Ratio,,
100002021.0,100002021,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Androgenic Steroids
100009123.0,100009123,1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*,Lipid,Phosphatidylcholine (PC)
1002.0,1002,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
100001092.0,100001092,trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
100001552.0,100001552,1-dihomo-linolenoyl-GPC (20:3n3 or n6)*,Lipid,Lysophospholipid
2050.0,2050,eicosapentaenoate (EPA; 20:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100020261.0,100020261,glutamine conjugate of C6H10O2 (1)*,Partially Characterized Molecules,Partially Characterized Molecules
100001359.0,100001359,aconitate [cis or trans],Energy,TCA Cycle
100021141.0,100021141,3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"
100009332.0,100009332,arachidonoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline)
100006051.0,100006051,myristoleoylcarnitine/physeteroylcarnitine (C14:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
100001396.0,100001396,7-methylxanthine,Xenobiotics,Xanthine Metabolism
563.0,563,glutamine,Amino Acid,Glutamate Metabolism
98.0,98,kynurenate,Amino Acid,Tryptophan Metabolism
100001263.0,100001263,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid
1135.0,1135,ursodeoxycholate,Lipid,Secondary Bile Acid Metabolism
100001657.0,100001657,glycolithocholate sulfate*,Lipid,Secondary Bile Acid Metabolism
100020259.0,100020259,glutamine conjugate of C7H12O2*,Partially Characterized Molecules,Partially Characterized Molecules
100015593.0,100015593,1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)*,Lipid,Phosphatidylethanolamine (PE)
100001999.0,100001999,21-hydroxypregnenolone disulfate,Lipid,Pregnenolone Steroids
100016019.0,100016019,1-palmitoyl-2-pentadecanoyl-GPC (16:0/15:0)*,Lipid,Phosphatidylcholine (PC)
100002796.0,100002796,cis-4-decenoate (10:1n6)*,Lipid,Medium Chain Fatty Acid
1629.0,1629,taurochenodeoxycholate,Lipid,Primary Bile Acid Metabolism
100000580.0,100000580,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
1052.0,1052,glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
100001743.0,100001743,tryptophan betaine,Amino Acid,Tryptophan Metabolism
980.0,980,pentadecanoate (15:0),Lipid,Long Chain Saturated Fatty Acid
100021712.0,100021712,deoxycholic acid 12-sulfate*,Lipid,Secondary Bile Acid Metabolism
100002911.0,100002911,glycoursodeoxycholate,Lipid,Secondary Bile Acid Metabolism
100001335.0,100001335,eicosenoate (20:1),Lipid,Long Chain Monounsaturated Fatty Acid
100000657.0,100000657,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC)
100002129.0,100002129,pregnenolone sulfate,Lipid,Pregnenolone Steroids
892.0,892,nonadecanoate (19:0),Lipid,Long Chain Saturated Fatty Acid
100008930.0,100008930,oleate/vaccenate (18:1),Lipid,Long Chain Monounsaturated Fatty Acid
100006642.0,100006642,glycodeoxycholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism
100020262.0,100020262,glutamine conjugate of C6H10O2 (2)*,Partially Characterized Molecules,Partially Characterized Molecules
207.0,207,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing"
100005371.0,100005371,1-dihomo-linolenoyl-GPE (20:3n3 or n6)*,Lipid,Lysophospholipid
100001993.0,100001993,pregnenediol disulfate (C21H34O8S2)*,Lipid,Pregnenolone Steroids
561.0,561,glutamate,Amino Acid,Glutamate Metabolism
100001398.0,100001398,"3,7-dimethylurate",Xenobiotics,Xanthine Metabolism
100001566.0,100001566,1-docosahexaenoyl-GPC (22:6)*,Lipid,Lysophospholipid
100009394.0,100009394,hexadecadienoate (16:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100002259.0,100002259,cis-4-decenoylcarnitine (C10:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
100008915.0,100008915,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC)
