"Feature_ID","Chemical_Name","MeanDecreaseGini"
"100020550","deoxycholic acid glucuronide",18.1381928696333
"100004243","gamma-CEHC glucuronide*",14.2863507936193
"100004182","3beta-hydroxy-5-cholenoate",14.2027845443846
"100021502","(2 or 3)-decenoate (10:1n7 or n8)",13.8197118997982
"100003679","prolylserine",13.7636530519657
"100020853","4-acetylcatechol sulfate (1)",13.1594250073403
"100006262","4-methoxyphenol sulfate",12.660127885524
"100001106","1,3-dimethylurate",12.4713897133517
"100001400","1-methylurate",12.3554815183326
