"Feature_ID","Chemical_Name","MeanDecreaseGini"
"1869","2-hydroxyhippurate (salicylurate)",5.31353906456145
"100010941","linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*",4.74780119107013
"342","glycocholate",4.56875220074969
"100002128","17alpha-hydroxypregnenolone 3-sulfate",4.47341327925315
"100005814","N-linoleoyltaurine",4.29851456254149
"100021331","metabolonic lactone sulfate",4.23230330187488
"100001657","glycolithocholate sulfate*",4.21166295392145
"501","salicylate",4.17463924243356
"100002253","cinnamoylglycine",4.17215456757665
"100015593","1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)*",4.16495060920526
"1221","creatine",4.12931152936549
"100020504","sulfate of piperine metabolite C18H21NO3 (3)*",3.97417094497341
"100020214","glyco-beta-muricholate**",3.24951847588221
"100001843","gamma-glutamylalanine",2.60179054850143
