"","Cognitive_CogPos_vs_CogNeg","Cognitive_CogPos_vs_Control","Subtypes_Cognitive_vs_Control","Subtypes_Depressive_vs_Control","Subtypes_MildPTSD_vs_Control","Subtypes_SeverePTSD_vs_Control"
"Cognitive_CogPos_vs_CogNeg",1,0.657738528073023,0.608288011118303,-0.302768411618608,-0.435142482970069,0.1736472241954
"Cognitive_CogPos_vs_Control",0.657738528073023,1,0.862120766630164,0.22749054538456,0.198444513051981,0.773544117438665
"Subtypes_Cognitive_vs_Control",0.608288011118303,0.862120766630164,1,0.08830996814969,0.16057153126484,0.507498330322549
"Subtypes_Depressive_vs_Control",-0.302768411618608,0.22749054538456,0.08830996814969,1,0.201045547776179,0.445434985347023
"Subtypes_MildPTSD_vs_Control",-0.435142482970069,0.198444513051981,0.16057153126484,0.201045547776179,1,0.358907488793035
"Subtypes_SeverePTSD_vs_Control",0.1736472241954,0.773544117438665,0.507498330322549,0.445434985347023,0.358907488793035,1
