"Feature_ID","Chemical_Name","MeanDecreaseGini"
"100001229","stearidonate (18:4n3)",9.1056460494399
"100001988","5alpha-pregnan-3beta,20alpha-diol disulfate",8.95890000285123
"100010937","oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*",8.84698656218908
"254","3-hydroxybutyrate (BHBA)",8.53731786676411
"100021100","tetradecadienedioate (C14:2-DC)*",8.39550119487457
"100001635","ectoine",7.84289910023708
"100001655","1-palmitoyl-GPI (16:0)",7.71195524650887
"100009331","oleoylcholine",7.43630876833566
"418","methylmalonate (MMA)",7.07099115924549
"100010919","oleoyl-oleoyl-glycerol (18:1/18:1) [2]*",6.91624788709957
"100002241","7-methylurate",6.72133529506117
"100020215","N-methylhydroxyproline**",6.6010139633164
"100020253","glycine conjugate of C10H12O2*",6.28314465975491
"100002003","21-hydroxypregnenolone monosulfate (1)",6.2831280818779
"1668","taurodeoxycholate",6.01587494644428
"100021261","leucylhydroxyproline*",5.97603961441564
"100000436","glycodeoxycholate",5.79302636424055
"100002293","phenylalanylphenylalanine",5.64458398421183
"100021991","3-hydroxyoctanoylcarnitine (2)",5.61747669653668
"798","adenosine",5.28364958362204
