"Original_Feature_ID","Chemical_Name","MeanDecreaseGini","MeanDecreaseAccuracy"
"999917010","X-17010",0.763712185703016,4.30458952406388
"1869","2-hydroxyhippurate (salicylurate)",0.699904926931997,1.46571859375106
"999907765","X-07765",0.693974165570656,1.9857743781552
"999917690","X-17690",0.593932512492787,0.653390149678716
"100020550","deoxycholic acid glucuronide",0.586618652430357,1.84588617819514
"100003470","pregnanediol-3-glucuronide",0.581908686557834,2.30097672817542
"100001988","5alpha-pregnan-3beta,20alpha-diol disulfate",0.576143682897157,2.40899353854585
"100001229","stearidonate (18:4n3)",0.575538854098549,2.49259432614219
"100002253","cinnamoylglycine",0.572937424060259,1.93928075702722
"999912847","X-12847",0.57099654744603,3.074918555069
"999923780","X-23780",0.56635027261679,1.20504164010743
"100019794","hydroxy-CMPF*",0.560415815228516,1.79794585300887
"100001586","gulonate*",0.55283635505206,-0.336099639598097
"999911483","X-11483",0.552489689600109,-0.258923933970323
"100004284","dimethyl sulfone",0.548769058688339,0.961009162500438
"501","salicylate",0.547368223251061,0.390999482640468
"100009184","1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or n6)*",0.547136913917994,-0.106980038212134
"100001757","thymol sulfate",0.543298728050137,-0.590494753520783
"100002014","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",0.542043628760759,1.90675816258586
"999917676","X-17676",0.542031461382083,-2.98536335960203
"999926109","X-26109",0.538038797274751,-0.180512071664473
"100010937","oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*",0.536948790831307,1.75562846233574
"100021261","leucylhydroxyproline*",0.536498532454974,3.73194681431415
"100020416","delta-CEHC",0.535609293332569,1.29835581404631
"100001657","glycolithocholate sulfate*",0.527811857688022,2.51582889010475
"999912544","X-12544",0.526248909297919,-0.69666523185078
"100020214","glyco-beta-muricholate**",0.522852169508227,1.47637219752476
"100000924","1-oleoylglycerol (18:1)",0.519449233276252,-1.76614929378102
"100003679","prolylserine",0.515097045920518,3.33920864392608
"100020515","2-naphthol sulfate",0.515096480946411,0.692356119808956
"999919438","X-19438",0.515010033434157,-1.07862730065537
"100021711","decadienedioic acid (C10:2-DC)**",0.514700611312088,2.12802035260536
"310","cystathionine",0.514214955390844,-1.01364671708971
"100001178","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)",0.513434745331543,0.633117845011134
"62","12,13-DiHOME",0.510541635108691,0.195929239196291
"100004111","4-methylcatechol sulfate",0.508011606811885,2.42613044015347
"100020536","4-ethylcatechol sulfate",0.507700926949471,-0.72773864150916
"100002003","21-hydroxypregnenolone monosulfate (1)",0.50670798240134,1.10172679144024
"100004083","glycohyocholate",0.506603178535368,0.894892741619975
"999925271","X-25271",0.505543761748236,2.10021690593571
